:   ID : executionTime     : executionResult : description  
:   96 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_account_unpivot(      
:   97 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_emp(      
:   98 :             0.253 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_list(      
:   99 :             0.203 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.test_nanvl(      
:  100 :             0.202 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_hash(      
:  101 :             0.307 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype_float(      
:  102 :             0.242 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.d_f2(      
:  103 :             0.203 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_pk_ind(      
:  104 :             0.229 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype1(      
:  105 :             0.203 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_currency(      
:  106 :             0.328 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_list_pk_ind(      
:  107 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.test_table_cf_employees(      
:  108 :             0.225 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.lineorder_test_index(      
:  109 :             0.203 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_acc_resp_mng(      
:  110 :             0.246 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_intval_pk_ind(      
:  111 :             0.203 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype_other2(      
:  112 :             0.265 :         SUCCESS : ALTER TABLE test_batch.dr$idx_tbl_ind_dmn$r      
:  113 :             0.294 :         SUCCESS : ALTER TABLE test_batch.f_f2      
:  114 :             0.225 :         SUCCESS : ALTER TABLE test_batch.dimension2      
:  115 :             0.258 :         SUCCESS : ALTER TABLE test_batch.tbl_iot_labor_hour      
:  116 :             0.237 :         SUCCESS : ALTER TABLE test_batch.d_cur      
:  117 :             0.229 :         SUCCESS : ALTER TABLE test_batch.tbl_promotions_var1      
:  118 :             0.244 :         SUCCESS : ALTER TABLE test_batch.d_cust_cat      
:  119 :             0.237 :         SUCCESS : ALTER TABLE test_batch.tbl_part_list_pk      
:  120 :             0.541 :         SUCCESS : ALTER TABLE test_batch.tbl_employees3      
:  121 :             0.254 :         SUCCESS : ALTER TABLE test_batch.dr$idx_tbl_ind_dmn$k      
:  122 :             0.235 :         SUCCESS : ALTER TABLE test_batch.tbl_acc_ins      
:  123 :             0.233 :         SUCCESS : ALTER TABLE test_batch.tbl_part_ref_parent      
:  124 :             0.232 :         SUCCESS : ALTER TABLE test_batch.tbl_part_hash_range_pk      
:  125 :             0.292 :         SUCCESS : ALTER TABLE test_batch.fact_table1      
:  126 :             0.296 :         SUCCESS : ALTER TABLE test_batch.tbl_part_range_hash_pk      
:  127 :             0.343 :         SUCCESS : ALTER TABLE test_batch.d_cust      
:  128 :             0.222 :         SUCCESS : ALTER TABLE test_batch.tbl_part_range_hash_pk_ind      
:  129 :             0.207 :         SUCCESS : ALTER TABLE test_batch.fact_table1      
:  130 :             0.224 :         SUCCESS : ALTER TABLE test_batch.f_f1      
:  131 :             0.320 :         SUCCESS : ALTER TABLE test_batch.tbl_part_range_list_pk      
:  132 :             0.232 :         SUCCESS : ALTER TABLE test_batch.fact_table2      
:  133 :             0.231 :         SUCCESS : ALTER TABLE test_batch.tbl_part_hash_pk      
:  134 :             0.226 :         SUCCESS : ALTER TABLE test_batch.d_f2      
:  135 :             0.238 :         SUCCESS : ALTER TABLE test_batch.dr$idx_tbl_ind_dmn$n      
:  136 :             0.347 :         SUCCESS : ALTER TABLE test_batch.dimension3      
:  137 :             0.233 :         SUCCESS : ALTER TABLE test_batch.tbl_promotions_var2      
:  138 :             0.401 :         SUCCESS : ALTER TABLE test_batch.fact_table2      
:  139 :             0.393 :         SUCCESS : ALTER TABLE test_batch.d_cust_type      
:  140 :             0.308 :         SUCCESS : ALTER TABLE test_batch.tbl_employees3_ins      
:  141 :             0.269 :         SUCCESS : ALTER TABLE test_batch.tbl_part_range_pk      
:  142 :             0.234 :         SUCCESS : ALTER TABLE test_batch.tbl_part_range_pk_ind      
:  143 :             0.233 :         SUCCESS : ALTER TABLE test_batch.tbl_part_ref      
:  144 :             0.252 :         SUCCESS : ALTER TABLE test_batch.tbl_not_part_pk_ind      
:  145 :             0.287 :         SUCCESS : ALTER TABLE test_batch.fact_table2      
