              Started ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;           additional 
                      ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;                      
                      ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;                      
                      ;               _Total ;                   C: ;                   F: ;                   D: ;                   E: ;      HarddiskVolume1 ;                      
               12.017 ;               22.268 ;                0.000 ;               31.628 ;               14.215 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.014831468.json.gz 
               12.183 ;               22.268 ;                0.000 ;               31.628 ;               14.215 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.015833625.json.gz 
               12.350 ;               22.263 ;                0.000 ;               31.628 ;               14.203 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.020835473.json.gz 
               12.517 ;               22.263 ;                0.000 ;               31.628 ;               14.203 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.021836884.json.gz 
               12.683 ;               22.252 ;                0.000 ;               31.628 ;               14.178 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.022338354.json.gz 
               12.850 ;               22.252 ;                0.000 ;               31.628 ;               14.178 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.023340665.json.gz 
               13.017 ;               22.250 ;                0.000 ;               31.628 ;               14.172 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.024343083.json.gz 
               13.183 ;               22.247 ;                0.000 ;               31.628 ;               14.166 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.025345135.json.gz 
               13.350 ;               22.242 ;                0.000 ;               31.628 ;               14.154 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.030347167.json.gz 
               13.533 ;               22.242 ;                0.000 ;               31.628 ;               14.153 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.031348562.json.gz 
               13.700 ;               22.242 ;                0.000 ;               31.628 ;               14.153 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.032350234.json.gz 
               13.867 ;               22.242 ;                0.000 ;               31.628 ;               14.153 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.033352226.json.gz 
               14.033 ;               22.242 ;                0.000 ;               31.628 ;               14.153 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.034354795.json.gz 
               14.200 ;               22.239 ;                0.000 ;               31.628 ;               14.147 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.035356321.json.gz 
               14.367 ;               22.239 ;                0.000 ;               31.628 ;               14.147 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.040358543.json.gz 
               14.533 ;               22.234 ;                0.000 ;               31.628 ;               14.135 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.041400742.json.gz 
               14.700 ;               22.231 ;                0.000 ;               31.628 ;               14.129 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.042403387.json.gz 
               14.867 ;               22.231 ;                0.000 ;               31.628 ;               14.129 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.043405472.json.gz 
               15.033 ;               22.231 ;                0.000 ;               31.628 ;               14.129 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.044407354.json.gz 
               15.200 ;               22.261 ;                0.427 ;               31.628 ;               14.115 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.045409875.json.gz 
               15.367 ;               22.259 ;                0.410 ;               31.628 ;               14.115 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.050412099.json.gz 
               15.533 ;               22.258 ;                0.393 ;               31.628 ;               14.115 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.051414273.json.gz 
               15.700 ;               22.254 ;                0.375 ;               31.628 ;               14.109 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.052416067.json.gz 
               15.867 ;               22.249 ;                0.357 ;               31.628 ;               14.103 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.053418066.json.gz 
               16.033 ;               22.245 ;                0.342 ;               31.628 ;               14.096 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.054420067.json.gz 
               16.200 ;               22.244 ;                0.327 ;               31.628 ;               14.096 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.055421979.json.gz 
